PatientNbr,RegistrationDate,HealthCardNbr,FirstName,LastName,Email,Gender,DOB,Address1,Address2,City,State,StateCode,Region,Zip
4760825,2021-12-18,21376821,Melanie,Greene,melanie.greene@datacourse.com,Female,1925-07-31,Apt. 087,1424 Smith Hill,Auburn,Alabama,AL,South,36849
4975268,2021-12-15,21391171,Neil,Pullman,neil.pullman@datacourse.com,Male,1914-05-11,Suite 632,8685 Nelson Flat,Auburn,Alabama,AL,South,36849
5331866,2022-02-06,21385004,Kimberly,Mills,kimberly.mills@datacourse.com,Female,1935-10-12,Apt. 618,28288 Adriana Heights,Auburn,Alabama,AL,South,36849
5431278,2021-12-17,21365432,Dan,Wilkins,dan.wilkins@datacourse.com,Male,1981-06-19,Apt. 754,71531 Robinson Plains,Auburn,Alabama,AL,South,36849
5498935,2021-12-17,21387538,Benjamin,Cornish,benjamin.cornish@datacourse.com,Male,1972-06-16,Suite 697,583 Anthony Glens,Auburn,Alabama,AL,South,36849
5504771,2021-12-18,21382827,Sean,Johnston,sean.johnston@datacourse.com,Male,1972-09-03,Apt. 371,7163 Serrano Station,Auburn,Alabama,AL,South,36849
5513252,2021-12-18,21376800,Michael,Payne,michael.payne@datacourse.com,Male,1954-10-17,Suite 690,6997 Terri Points,Auburn,Alabama,AL,South,36849
5543622,2021-12-30,21391710,Sean,Fraser,sean.fraser@datacourse.com,Male,1952-10-27,Apt. 457,4039 Jeremy View,Auburn,Alabama,AL,South,36849
4696113,2021-12-18,21366643,Diana,Alsop,diana.alsop@datacourse.com,Female,1987-08-26,Apt. 716,6544 Murphy Loaf,Decatur,Alabama,AL,South,62522
4864270,2021-12-19,21386404,Dorothy,Langdon,dorothy.langdon@datacourse.com,Female,1922-08-25,Apt. 703,73907 Diane Ramp,Decatur,Alabama,AL,South,62522
5198198,2021-12-16,21362863,Madeleine,Davidson,madeleine.davidson@datacourse.com,Female,1941-05-30,Suite 244,55831 Norton Stream,Decatur,Alabama,AL,South,62522
5392983,2021-12-19,21373349,Tracey,Grant,tracey.grant@datacourse.com,Female,1991-05-30,Apt. 729,283 Jodi Crossing,Decatur,Alabama,AL,South,62522
