ProviderNbr,NpiNbr,FirstName,LastName,Email,Prefix,FTE,ProviderCategory,SpecialityCode
216332,187719108,April,Zuniga,april.zuniga@datacourse.com,,1.0,Physician Assistant,97
215759,187700570,Nicholas,Zhang,nicholas.zhang@datacourse.com,,0.9,Nurse Practitioner,50
215806,187716326,Rickey,Yoder,rickey.yoder@datacourse.com,,1.0,Nurse Practitioner,50
215760,187720694,Lisa,Yates,lisa.yates@datacourse.com,,1.0,Nurse Practitioner,50
216264,187714896,James,Willis,james.willis@datacourse.com,,0.37,Nurse Practitioner,50
216403,187703274,Cindy,Williams,cindy.williams@datacourse.com,,0.18,Nurse Practitioner,50
212304,187723866,Amanda,Wiggins,amanda.wiggins@datacourse.com,,0.09,Social Worker - Clinical,80
216297,187724308,Thomas,Wells,thomas.wells@datacourse.com,,0.5,Physician Assistant,97
215260,187708396,Carlos,Webster,carlos.webster@datacourse.com,,1.0,Nurse Practitioner,50
215607,187711152,Wendy,Watts,wendy.watts@datacourse.com,,0.25,Physician Assistant,97
216635,187719056,William,Warren,william.warren@datacourse.com,,0.9,Nurse Practitioner,50
216020,187710528,William,Velez,william.velez@datacourse.com,,1.0,Nurse Practitioner,50
218381,187710528,Jenny,Velez,jenny.velez@datacourse.com,,1.0,Nurse Practitioner,50
216105,187719888,Tyler,Vega,tyler.vega@datacourse.com,,1.0,Nurse Practitioner,50
216515,187715234,Jonathan,Vasquez,jonathan.vasquez@datacourse.com,,0.25,Physician Assistant,97
215648,187719862,Dave,Vance,dave.vance@datacourse.com,,1.0,Physician Assistant,97
216124,187708188,William,Valencia,william.valencia@datacourse.com,,0.5,Nurse Practitioner,50
215833,187715364,Ashley,Tyler,ashley.tyler@datacourse.com,,1.0,Nurse Practitioner,50
216570,187715806,Steven,Turner,steven.turner@datacourse.com,,0.9,Physician Assistant,97
216728,187705172,Amy,Trevino,amy.trevino@datacourse.com,,0.9,Nurse Practitioner,50
215370,187706082,Sharon,Strong,sharon.strong@datacourse.com,,0.9,Nurse Practitioner,50
216561,187720590,Ryan,Soto,ryan.soto@datacourse.com,,1.0,Physician Assistant,97
215609,187702676,Victoria,Sosa,victoria.sosa@datacourse.com,,1.0,Nurse Practitioner,50
217513,187714298,Victor,Snyder,victor.snyder@datacourse.com,,0.9,Physician Assistant,97
216531,187707356,Ronald,Simpson,ronald.simpson@datacourse.com,,0.9,Physician Assistant,97
216596,187720642,Anita,Sharp,anita.sharp@datacourse.com,,0.75,Nurse Practitioner,50
217240,187713232,Erica,Sellers,erica.sellers@datacourse.com,,0.17,Physician Assistant,97
215994,187714740,Mark,Schmidt,mark.schmidt@datacourse.com,,1.0,Nurse Practitioner,50
216988,187706576,Mike,Saunders,mike.saunders@datacourse.com,,0.9,Physician Assistant,97
215872,187706550,Rebecca,Santiago,rebecca.santiago@datacourse.com,,1.0,Physician Assistant,97
216777,187707200,John,Santana,john.santana@datacourse.com,,1.0,Physician Assistant,97
216583,187721214,Megan,Salas,megan.salas@datacourse.com,,1.0,Registered Nurse,43
215844,187716716,Tyler,Roy,tyler.roy@datacourse.com,,1.0,Physician Assistant,97
215448,187719420,Craig,Roth,craig.roth@datacourse.com,,0.13,Physician Assistant,97
216522,187715624,Donald,Rivera,donald.rivera@datacourse.com,,1.0,Physician Assistant,97
217295,187718172,James,Ritter,james.ritter@datacourse.com,,0.75,Nurse Practitioner,50
216579,187699946,Lori,Rich,lori.rich@datacourse.com,,0.16,Physician Assistant,97
216005,187721708,Morgan,Rice,morgan.rice@datacourse.com,,1.0,Physician Assistant,97
215196,187718432,Denise,Reyes,denise.reyes@datacourse.com,,0.9,Physician Assistant,97
215224,187712426,Jeffrey,Reed,jeffrey.reed@datacourse.com,,1.0,Nurse Practitioner,50
216298,187717418,Thomas,Raymond,thomas.raymond@datacourse.com,,0.9,Nurse Practitioner,50
215322,187710918,Allison,Rasmussen,allison.rasmussen@datacourse.com,,0.5,Nurse Practitioner,50
215810,187716534,Ross,Rangel,ross.rangel@datacourse.com,,1.0,Nurse Practitioner,50
216254,187712062,Penny,Prince,penny.prince@datacourse.com,,1.0,Nurse Practitioner,50
215442,187718224,Corey,Powell,corey.powell@datacourse.com,,1.0,Nurse Practitioner,50
216208,187720668,Andrea,Poole,andrea.poole@datacourse.com,,0.5,Nurse Practitioner,50
215235,187703924,Corey,Ponce,corey.ponce@datacourse.com,,1.0,Physician Assistant,97
217187,187706524,Leonard,Pollard,leonard.pollard@datacourse.com,,0.9,Physician Assistant,97
216670,187701532,Jeff,Pierce,jeff.pierce@datacourse.com,,1.0,Physician Assistant,97
